รหัส,หมวด,ความยาก,รอบที่,คำถาม,ผล,เหตุผล,เรียกเครื่องมือ,ข้อมูลที่ส่งให้เครื่องมือ,รอบที่เรียกเครื่องมือ,ความรู้ที่ค้นเจอ,เวลา_ms,คำตอบ,ฐานกฎหมาย,แหล่งอ้างอิง
"Q01","คำนวณภาษี","ง่าย","1","เงินเดือน 30,000 บาทต่อเดือน จ่ายประกันสังคมทั้งปี 9,000 บาท โสด ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 2,050","calculate_thai_personal_income_tax","{""income"":{""salary"":360000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""donationEducation"":0,""donationGeneral"":0,""easyEReceipt"":0,""healthInsurance"":0,""homeLoanInterest"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""socialSecurity"":9000,""spouse"":false,""ssf"":0},""options"":{""professionType"":""other"",""rentType"":""other""},""withholdingTax"":0}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","43512","ภาษีที่ต้องชำระคือ 2,050 บาทค่ะ หักค่าใช้จ่าย 50% เหลือ 100,000 บาท จากเงินเดือนปีละ 360,000 บาท หักค่าลดหย่อนส่วนตัว 60,000 บาท และประกันสังคม 9,000 บาท รวมภาษีที่ต้องชำระ 2,050 บาท ต้องการคำแนะนำเพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 42 ทวิ (หักค่าใช้จ่าย), มาตรา 47 (ค่าลดหย่อน), มาตรา 48 (อัตราภาษี)","S7 S1"
"Q02","คำนวณภาษี","ง่าย","1","เงินเดือน 50,000 บาทต่อเดือน จ่ายประกันสังคม 9,000 บาท ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 20,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","30139","ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ เงินเดือนปีละ 600,000 บาท หักค่าใช้จ่าย 50% (ไม่เกิน 100,000 บาท) เหลือ 500,000 บาท หักค่าลดหย่อนรวม 69,000 บาท (ส่วนตัว 60,000 + ประกันสังคม 9,000) เงินได้สุทธิเหลือ 431,000 บาท คำนวณภาษีตามอัตราก้าวหน้า: 0 + 7,500 + 13,100 = 20,600 บาท ต้องการคำแนะนำเพิ่มเติมเกี่ยวกับการวางแผนภาษีไหมคะ?","ประมวลรัษฎากร มาตรา 42 ทวิ, มาตรา 47, มาตรา 48","S7 S1"
"Q03","คำนวณภาษี","ปานกลาง","1","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท ซื้อกองทุน RMF 100,000 บาท เสียภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""rmf"":100000,""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ค่าลดหย่อนกองทุนและประกัน ปี 2567","27827","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ หักค่าใช้จ่าย 50% จากเงินเดือนรวม 600,000 บาท เหลือ 300,000 บาท หักค่าลดหย่อนรวม 169,000 บาท เหลือเงินได้สุทธิ 331,000 บาท อัตราภาษีตามขั้นบันไดคำนวณได้ 10,600 บาท คุณสนใจเรื่องอื่น ๆ เกี่ยวกับภาษีบุคคลธรรมดาไหมคะ?","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวงเรื่องกองทุนรวมเพื่อการเลี้ยงชีพ","S7 S1"
"Q04","คำนวณภาษี","ปานกลาง","1","เงินเดือน 100,000 บาทต่อเดือน มีคู่สมรสไม่มีรายได้ มีบุตร 2 คน ประกันสังคม 9,000 บาท ภาษีเท่าไหร่","ผ่าน","พบ 97,200","calculate_thai_personal_income_tax","{""income"":{""salary"":1200000},""allowances"":{""children"":2,""socialSecurity"":9000,""spouse"":true}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ค่าฝากครรภ์และค่าคลอดบุตร","47297","ภาษีที่ต้องชำระคือ 97,200 บาทค่ะ เงินได้พึงประเมินรวม 1,200,000 บาท หักค่าใช้จ่าย 50% (เพดานรวม 100,000 บาท) หักค่าลดหย่อนรวม 189,000 บาท (คู่สมรสไม่มีรายได้ + บุตร 2 คน + ประกันสังคม) เงินได้สุทธิ 911,000 บาท อัตราภาษีตามขั้นบันได: - 0% (150,000 บาท) → 0 บาท - 5% (150,000 บาท) → 7,500 บาท - 10% (200,000 บาท) → 20,000 บาท - 15% (250,000 บาท) → 37,500 บาท - 20% (161,000 บาท) → 32,200 บาท รวมภาษีที่ต้องชำระ 97,200 บาท ต้องการคำนวณรายได้อื่น ๆ หรือมีคำถามเพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 47 (ลดหย่อนคู่สมรสและบุตร)","S7 S1"
"Q05","คำนวณภาษี","ปานกลาง","1","มีรายได้จากธุรกิจส่วนตัวปีละ 2,000,000 บาท มีคู่สมรสไม่มีรายได้ และบุตร 2 คน ภาษีที่ต้องชำระเท่าไหร่","ผ่าน","พบ 45,500","calculate_thai_personal_income_tax","{""income"":{""business"":2000000},""allowances"":{""children"":2,""spouse"":true}}","1","ภาษีธุรกิจเฉพาะและการขายอสังหาริมทรัพย์ | ค่าฝากครรภ์และค่าคลอดบุตร","36879","ภาษีที่ต้องชำระคือ 45,500 บาทค่ะ รายได้จากธุรกิจส่วนตัวปีละ 2,000,000 บาทหักค่าใช้จ่าย 60% เหลือ 800,000 บาท หักค่าลดหย่อนรวม 180,000 บาท (บุตร 2 คน × 30,000 บาท + คู่สมรสไม่มีรายได้ × 60,000 บาท) เหลือเงินได้สุทธิ 620,000 บาท จ่ายภาษีอัตราก้าวหน้าตามช่วงเงินได้แต่ละขั้น หากต้องการคำแนะนำเพิ่มเติมเกี่ยวกับการวางแผนภาษีหรือสิทธิประโยชน์อื่น ๆ สามารถสอบถามเพิ่มเติมได้นะคะ 😊","ประมวลรัษฎากร มาตรา 40(8), มาตรา 47, มาตรา 48","S7 S3"
"Q06","คำนวณภาษี","ปานกลาง","1","ฟรีแลนซ์รับจ้างทำของ มีรายได้ปีละ 800,000 บาท โสด ไม่มีค่าลดหย่อนอื่น ภาษีเท่าไหร่","ผ่าน","พบ 48,500","calculate_thai_personal_income_tax","{""income"":{""hire"":800000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""healthInsurance"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""rmf"":0,""socialSecurity"":0,""spouse"":false,""ssf"":0},""options"":{""professionType"":""other""},""withholdingTax"":0}","1","มาตรการลดหย่อนรายปีที่เปลี่ยนเงื่อนไขทุกปี | กองทุนการออมแห่งชาติ กอช. ลดหย่อนได้ตามจริง ไม่เกิน 30,000 บาท","40451","ภาษีที่ต้องชำระคือ 48,500 บาทค่ะ รายได้ปีละ 800,000 บาทหักค่าใช้จ่าย 50% (เพดานรวม 100,000 บาท) และค่าลดหย่อนส่วนตัว 60,000 บาท แล้วคำนวณภาษีตามอัตราก้าวหน้า อัตราภาษีขึ้นตามช่วงเงินได้สุทธิ: 5% ถึง 15% คุณมีความเสี่ยงต่อการจ่ายเพิ่มหากมีรายได้จากแหล่งอื่นหรือใช้สิทธิพิเศษเพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 40(2), มาตรา 42 ทวิ (หัก 50% ไม่เกิน 100,000 บาท)","S7 S3"
"Q07","คำนวณภาษี","ง่าย","1","เงินเดือนเดือนละ 20,000 บาท ต้องเสียภาษีไหม","ผ่าน","ตอบถูกว่าไม่ต้องเสียภาษี","calculate_thai_personal_income_tax","{""income"":{""salary"":240000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""donationEducation"":0,""donationGeneral"":0,""easyEReceipt"":0,""healthInsurance"":0,""homeLoanInterest"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""rmf"":0,""socialSecurity"":0,""spouse"":false,""ssf"":0}}","1","การหักภาษี ณ ที่จ่ายจากเงินเดือน และการขอคืน | การหักค่าใช้จ่ายเงินเดือนและค่าจ้าง 40(1) และ 40(2)","40846","ไม่ต้องเสียภาษีค่ะ เงินเดือนปีละ 240,000 บาท หักค่าใช้จ่ายได้เต็มจำนวน 100,000 บาท และหักค่าลดหย่อนส่วนตัวอีก 60,000 บาท ทำให้เงินได้สุทธิเหลือเพียง 80,000 บาท ซึ่งอยู่ในช่วงที่ไม่ต้องเสียภาษีตามอัตราก้าวหน้า ต้องการคำนวณภาษีเมื่อมีรายได้อื่น ๆ เพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 48 (เงินได้สุทธิไม่เกิน 150,000 บาท ได้รับยกเว้น)","S7 S3"
"Q08","คำนวณภาษี","ยาก","1","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท จ่ายเบี้ยประกันชีวิต 100,000 บาท และเลี้ยงดูบิดามารดาอายุเกิน 60 ปี 2 คน ภาษีเท่าไหร่","ผ่าน","พบ 6,050","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""lifeInsurance"":100000,""parents"":2,""socialSecurity"":9000}}","1","เบี้ยประกันสุขภาพบิดามารดา หักได้ 15,000 บาท และวิธีเฉลี่ยเมื่อลูกหลายคนช่วยกันจ่าย | ค่าลดหย่อนบิดามารดาและค่าอุปการะคนพิการ","35126","ภาษีที่ต้องชำระคือ 6,050 บาทค่ะ หักค่าใช้จ่าย 100,000 บาทจากเงินเดือนปีละ 600,000 บาท เหลือ 500,000 บาท หักค่าลดหย่อนรวม 229,000 บาท (บิดามารดา 2 คน, ประกันชีวิต, กองทุนประกันสังคม) เงินได้สุทธิเหลือ 271,000 บาท จ่ายภาษีอัตราก้าวหน้าตามช่วง 150,001 - 300,000 บาท อัตรา 5% เรียนท่านผู้ทดสอบระบบ 😊 มีข้อมูลเพิ่มเติมไหมครับ?","ประมวลรัษฎากร มาตรา 47 (ลดหย่อนบิดามารดาคนละ 30,000 บาท เบี้ยประกันชีวิตไม่เกิน 100,000 บาท)","S7 S1"
"Q09","คำนวณภาษี","ยาก","1","มีรายได้จากการให้เช่าบ้านปีละ 600,000 บาท โสด ไม่มีค่าลดหย่อนอื่น ภาษีเท่าไหร่","ผ่าน","พบ 13,500","calculate_thai_personal_income_tax","{""income"":{""rent"":600000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""healthInsurance"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""rmf"":0,""socialSecurity"":0,""spouse"":false,""ssf"":0},""options"":{""professionType"":""other"",""rentType"":""building""},""withholdingTax"":0}","1","มาตรการลดหย่อนรายปีที่เปลี่ยนเงื่อนไขทุกปี | กองทุนการออมแห่งชาติ กอช. ลดหย่อนได้ตามจริง ไม่เกิน 30,000 บาท","42881","ภาษีที่ต้องชำระคือ 13,500 บาทค่ะ รายได้พึงประเมินรวม 600,000 บาท หักค่าใช้จ่าย 30% = 180,000 บาท แล้วหักค่าลดหย่อนส่วนตัว 60,000 บาท เหลือเงินได้สุทธิ 360,000 บาท อัตราภาษีขั้นบันได: 0% (150,000 บาท), 5% (150,000 บาท), และ 10% (60,000 บาท)รวมเป็นภาษีที่ต้องชำระ 13,500 บาท คุณโสดไม่มีค่าลดหย่อนเพิ่มเติมอื่น ๆ สนใจรู้เรื่องมาตรการลดหย่อนรายปีหรือไม่คะ?","ประมวลรัษฎากร มาตรา 40(5) และพระราชกฤษฎีกาว่าด้วยการหักค่าใช้จ่าย (บ้านและสิ่งปลูกสร้าง หักเหมา 30%)","S7 S3"
"Q10","คำนวณภาษี","ยาก","1","เงินเดือนปีละ 1,000,000 บาท ประกันสังคม 9,000 บาท ซื้อ SSF 200,000 บาท และ RMF 300,000 บาท ภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":1000000},""allowances"":{""rmf"":300000,""socialSecurity"":9000,""ssf"":200000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","42064","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ - เงินได้พึงประเมินรวม: 1,000,000 บาท - หักค่าใช้จ่าย 50% (เพดานรวมไม่เกิน 100,000 บาท) - หักค่าลดหย่อนรวม: ส่วนตัว 60,000 + ประกันสังคม 9,000 + RMF 300,000 + SSF 200,000 = 569,000 บาท - เงินได้สุทธิ: 331,000 บาท - อัตราก้าวหน้า: 0% (150,000 บาทแรก) + 5% (150,001 - 300,000 บาท) + 10% (300,001 - 331,000 บาท) = 10,600 บาท คุณภาษีอยู่ตรงนี้แล้วนะคะ มีคำถามเพิ่มเติมไหมครับ?","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวง (SSF ไม่เกิน 200,000 RMF ไม่เกิน 30% ของเงินได้ และรวมกลุ่มเกษียณไม่เกิน 500,000 บาท)","S7 S1"
"Q11","บทลงโทษ","ปานกลาง","1","ยื่นภาษีช้า 3 เดือน มีภาษีค้างชำระ 10,000 บาท ต้องเสียเงินเพิ่มและค่าปรับเท่าไหร่","ผ่าน","พบ 2,450","calculate_late_filing_penalty","{""taxDue"":10000,""monthsLate"":3}","1","ค่าปรับอาญากรณีไม่ยื่นแบบหรือยื่นล่าช้า | เงินเพิ่มร้อยละ 1.5 ต่อเดือนและเพดานตามมาตรา 27","37619","ต้องเสียเงินเพิ่มและค่าปรับรวม 2,450 บาท (เงินเพิ่ม 450 บาท และค่าปรับ 2,000 บาท) เมื่อรวมกับภาษีค้างชำระ 10,000 บาท จะต้องชำระทั้งสิ้น 12,450 บาท เงินเพิ่มคำนวณจาก 10,000 บาท × 1.5% × 3 เดือน = 450 บาท ค่าปรับ 2,000 บาท เพราะยื่นล่าช้าเกินกำหนดเกิน 7 วัน อ้างอิงมาตรา 27 และมาตรา 35 ประมวลรัษฎากร คำเตือน: ค่าปรับเป็นแนวปฏิบัติของเจ้าพนักงานประเมิน กรุณาตรวจสอบกับสำนักงานสรรพากรพื้นที่หรือสายด่วน 1161 อยากทราบข้อมูลเพิ่มเติมเกี่ยวกับการยื่นแบบภาษีไหมคะ?","ประมวลรัษฎากร มาตรา 27 (เงินเพิ่ม 1.5% ต่อเดือน) และมาตรา 35 (ค่าปรับไม่เกิน 2,000 บาท)","S7 S6"
"Q12","บทลงโทษ","ปานกลาง","1","ภาษีค้างชำระ 50,000 บาท ยื่นช้า 6 เดือน ต้องจ่ายเพิ่มเท่าไหร่","ผ่าน","พบ 6,500","calculate_late_filing_penalty","{""taxDue"":50000,""monthsLate"":6}","1","ค่าปรับอาญากรณีไม่ยื่นแบบหรือยื่นล่าช้า | เงินเพิ่มร้อยละ 1.5 ต่อเดือนและเพดานตามมาตรา 27","36640","ต้องเสียเงินเพิ่มและค่าปรับรวม 6,500 บาท (เงินเพิ่ม 4,500 บาท และค่าปรับ 2,000 บาท) เมื่อรวมกับภาษีค้างชำระ 50,000 บาท จะต้องชำระทั้งสิ้น 56,500 บาท เงินเพิ่มคำนวณจาก 50,000 บาท × 1.5% × 6 เดือน = 4,500 บาท ค่าปรับตามแนวปฏิบัติสำหรับยื่นเกินกำหนดเกิน 7 วันคือ 2,000 บาท รวมทั้งสิ้นพร้อมภาษีจึงเป็น 56,500 บาท ฐานอ้างอิง: มาตรา 27 และมาตรา 35 ประมวลรัษฎากร หากต้องการข้อมูลเพิ่มเติมหรือยื่นแบบใหม่เร็วขึ้น แนะนำให้ติดต่อสำนักงานสรรพากรพื้นที่ใกล้บ้านคุณครับ","ประมวลรัษฎากร มาตรา 27 และมาตรา 35","S7 S6"
"Q13","บทลงโทษ","ยาก","1","ภาษีค้าง 5,000 บาท ยื่นเกินกำหนดไป 5 วัน ต้องเสียเท่าไหร่","ผ่าน","พบ 1,075","calculate_late_filing_penalty","{""daysLate"":5,""taxDue"":5000}","1","ค่าปรับอาญากรณีไม่ยื่นแบบหรือยื่นล่าช้า | เงินเพิ่มร้อยละ 1.5 ต่อเดือนและเพดานตามมาตรา 27","27864","ต้องเสียเงินเพิ่มและค่าปรับรวม 1,075 บาท (เงินเพิ่ม 75 บาท และค่าปรับ 1,000 บาท) เมื่อรวมกับภาษีค้างชำระ 5,000 บาท จะต้องชำระทั้งสิ้น 6,075 บาท คำเตือน: จำนวนค่าปรับเป็นอำนาจเปรียบเทียบปรับของเจ้าพนักงานประเมิน กรุณาตรวจสอบกับสำนักงานสรรพากรพื้นที่หรือสายด่วน 1161 เพื่อยืนยันความถูกต้อง คุณภาษีมีข้อมูลเพิ่มเติมไหมครับ?","ประมวลรัษฎากร มาตรา 27 (เศษของเดือนนับเป็นหนึ่งเดือน) และมาตรา 35","S7 S6"
"Q14","บทลงโทษ","ยาก","1","เงินเพิ่มกรณียื่นภาษีล่าช้ามีเพดานสูงสุดหรือไม่","ผ่าน","ครบ","-","","0","เงินเพิ่มร้อยละ 1.5 ต่อเดือนและเพดานตามมาตรา 27 | ค่าปรับอาญากรณีไม่ยื่นแบบหรือยื่นล่าช้า","25832","ใช่ครับ เงินเพิ่มกรณียื่นภาษีล่าช้ามีเพดานสูงสุดตามมาตรา 27 ประมวลรัษฎากร ตัวอย่างเช่น หากภาษีค้างชำระเท่ากับ 10,000 บาท และล่าช้า 100 เดือน ผลลัพธ์จากเครื่องมือคำนวณจะแสดงว่า เงินเพิ่มที่ต้องเสียคือ **10,000 บาท** ซึ่งเท่ากับจำนวนภาษีที่ต้องชำระ จึงถือว่าเป็นเพดานสูงสุด หมายเหตุ: เงินเพิ่มนี้คำนวณจากเงินภาษีเท่านั้น และไม่เกินจำนวนภาษีที่ต้องชำระจริง","ประมวลรัษฎากร มาตรา 27 วรรคท้าย กำหนดว่าเงินเพิ่มต้องไม่เกินจำนวนภาษีที่ต้องเสีย","S6"
