รหัส,หมวด,ความยาก,รอบที่,คำถาม,ผล,เหตุผล,เรียกเครื่องมือ,ข้อมูลที่ส่งให้เครื่องมือ,รอบที่เรียกเครื่องมือ,ความรู้ที่ค้นเจอ,เวลา_ms,คำตอบ,ฐานกฎหมาย,แหล่งอ้างอิง
"Q01","คำนวณภาษี","ง่าย","1","เงินเดือน 30,000 บาทต่อเดือน จ่ายประกันสังคมทั้งปี 9,000 บาท โสด ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 2,050","calculate_thai_personal_income_tax","{""income"":{""salary"":360000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","2626","ภาษีที่ต้องชำระคือ 2,050 บาทค่ะ - เงินได้รวม 360,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 69,000 บาท - เงินได้สุทธิ 191,000 บาท ภาษีที่ต้องชำระ 2,050 บาทค่ะ 💸","ประมวลรัษฎากร มาตรา 42 ทวิ (หักค่าใช้จ่าย), มาตรา 47 (ค่าลดหย่อน), มาตรา 48 (อัตราภาษี)","S7 S1"
"Q01","คำนวณภาษี","ง่าย","2","เงินเดือน 30,000 บาทต่อเดือน จ่ายประกันสังคมทั้งปี 9,000 บาท โสด ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 2,050","calculate_thai_personal_income_tax","{""income"":{""salary"":360000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","6785","ภาษีที่ต้องชำระคือ 2,050 บาทค่ะ - เงินได้พึงประเมินรวม 360,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 69,000 บาท - เงินได้สุทธิ 191,000 บาท ภาษีที่ต้องชำระ 2,050 บาทค่ะ ภาษี 💸","ประมวลรัษฎากร มาตรา 42 ทวิ (หักค่าใช้จ่าย), มาตรา 47 (ค่าลดหย่อน), มาตรา 48 (อัตราภาษี)","S7 S1"
"Q01","คำนวณภาษี","ง่าย","3","เงินเดือน 30,000 บาทต่อเดือน จ่ายประกันสังคมทั้งปี 9,000 บาท โสด ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 2,050","calculate_thai_personal_income_tax","{""allowances"":{""socialSecurity"":9000},""income"":{""salary"":360000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","9620","ภาษีที่ต้องชำระคือ 2,050 บาทค่ะ - เงินได้รวม 360,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 69,000 บาท - เงินได้สุทธิ 191,000 บาท ภาษีที่ต้องชำระ 2,050 บาทค่ะ ภาษี 📉","ประมวลรัษฎากร มาตรา 42 ทวิ (หักค่าใช้จ่าย), มาตรา 47 (ค่าลดหย่อน), มาตรา 48 (อัตราภาษี)","S7 S1"
"Q02","คำนวณภาษี","ง่าย","1","เงินเดือน 50,000 บาทต่อเดือน จ่ายประกันสังคม 9,000 บาท ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 20,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","2677","ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ - เงินได้รวมทั้งปี 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อนส่วนตัว 60,000 บาท และประกันสังคม 9,000 บาท - เงินได้สุทธิ 431,000 บาท ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ ภาษี 💸","ประมวลรัษฎากร มาตรา 42 ทวิ, มาตรา 47, มาตรา 48","S7 S1"
"Q02","คำนวณภาษี","ง่าย","2","เงินเดือน 50,000 บาทต่อเดือน จ่ายประกันสังคม 9,000 บาท ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 20,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","10006","ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ - เงินได้รวม 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อนส่วนตัว 60,000 บาท และประกันสังคม 9,000 บาท - เงินได้สุทธิ 431,000 บาท ภาษีที่ต้องชำระ 20,600 บาทค่ะ ภาษี 💸","ประมวลรัษฎากร มาตรา 42 ทวิ, มาตรา 47, มาตรา 48","S7 S1"
"Q02","คำนวณภาษี","ง่าย","3","เงินเดือน 50,000 บาทต่อเดือน จ่ายประกันสังคม 9,000 บาท ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 20,600","calculate_thai_personal_income_tax","{""allowances"":{""socialSecurity"":9000},""income"":{""salary"":600000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","13821","ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ - เงินได้รวมทั้งปี 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อนส่วนตัว 60,000 บาท และประกันสังคม 9,000 บาท - เงินได้สุทธิ 431,000 บาท ภาษีที่ต้องชำระ 20,600 บาทค่ะ ภาษี 💸","ประมวลรัษฎากร มาตรา 42 ทวิ, มาตรา 47, มาตรา 48","S7 S1"
"Q03","คำนวณภาษี","ปานกลาง","1","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท ซื้อกองทุน RMF 100,000 บาท เสียภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""rmf"":100000,""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","2769","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ - เงินได้รวม 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 169,000 บาท (ส่วนตัว 60,000 บาท ประกันสังคม 9,000 บาท และ RMF 100,000 บาท) - เงินได้สุทธิ 331,000 บาท - ภาษีที่ต้องชำระ 10,600 บาท 💸","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวงเรื่องกองทุนรวมเพื่อการเลี้ยงชีพ","S7 S1"
"Q03","คำนวณภาษี","ปานกลาง","2","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท ซื้อกองทุน RMF 100,000 บาท เสียภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""allowances"":{""socialSecurity"":9000,""rmf"":100000},""income"":{""salary"":600000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","7591","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ - เงินได้รวม 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 169,000 บาท (ส่วนตัว 60,000 บาท, ประกันสังคม 9,000 บาท, RMF 100,000 บาท) - เงินได้สุทธิ 331,000 บาท - ภาษีที่ต้องชำระ 10,600 บาท ภาษีค่ะ 💸","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวงเรื่องกองทุนรวมเพื่อการเลี้ยงชีพ","S7 S1"
"Q03","คำนวณภาษี","ปานกลาง","3","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท ซื้อกองทุน RMF 100,000 บาท เสียภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""rmf"":100000,""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","5940","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ - เงินได้รวม 600,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 169,000 บาท (ส่วนตัว 60,000 ประกันสังคม 9,000 และ RMF 100,000) - เงินได้สุทธิ 331,000 บาท - ภาษีที่ต้องชำระ 10,600 บาท ภาษีค่ะ 💸","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวงเรื่องกองทุนรวมเพื่อการเลี้ยงชีพ","S7 S1"
"Q04","คำนวณภาษี","ปานกลาง","1","เงินเดือน 100,000 บาทต่อเดือน มีคู่สมรสไม่มีรายได้ มีบุตร 2 คน ประกันสังคม 9,000 บาท ภาษีเท่าไหร่","ผ่าน","พบ 97,200","calculate_thai_personal_income_tax","{""allowances"":{""children"":2,""spouse"":true,""socialSecurity"":9000},""income"":{""salary"":1200000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","2768","ภาษีที่ต้องชำระคือ 97,200 บาทค่ะ 💸 - เงินได้รวมทั้งปี 1,200,000 บาท - หักค่าใช้จ่าย 100,000 บาท - หักค่าลดหย่อน 189,000 บาท (ส่วนตัว 60,000 คู่สมรส 60,000 บุตร 60,000 และประกันสังคม 9,000) - เงินได้สุทธิ 911,000 บาท","ประมวลรัษฎากร มาตรา 47 (ลดหย่อนคู่สมรสและบุตร)","S7 S1"
