รหัส,หมวด,ความยาก,รอบที่,คำถาม,ผล,เหตุผล,เรียกเครื่องมือ,ข้อมูลที่ส่งให้เครื่องมือ,รอบที่เรียกเครื่องมือ,ความรู้ที่ค้นเจอ,เวลา_ms,คำตอบ,ฐานกฎหมาย,แหล่งอ้างอิง
"Q01","คำนวณภาษี","ง่าย","1","เงินเดือน 30,000 บาทต่อเดือน จ่ายประกันสังคมทั้งปี 9,000 บาท โสด ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 2,050","calculate_thai_personal_income_tax","{""income"":{""salary"":360000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""donationEducation"":0,""donationGeneral"":0,""easyEReceipt"":0,""healthInsurance"":0,""homeLoanInterest"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""socialSecurity"":9000,""spouse"":false,""ssf"":0}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","47417","ภาษีที่ต้องชำระคือ 2,050 บาทค่ะ รายละเอียดการคำนวณ: - เงินเดือนปีละ 360,000 บาท (30,000 บาทต่อเดือน × 12) - หักค่าใช้จ่าย 50% แต่ไม่เกิน 100,000 บาท → หักได้ 100,000 บาท - เงินได้หลังหักค่าใช้จ่าย: 260,000 บาท - หักค่าลดหย่อนรวม: ส่วนตัว 60,000 บาท + ประกันสังคม 9,000 บาท = 69,000 บาท - เงินได้สุทธิ: 191,000 บาท ภาษีคำนวณตามอัตราก้าวหน้า: - 150,001 - 300,000 บาท อัตรา 5% → หักได้ 41,000 บาท × 5% = 2,050 บาท คุณอาจสนใจเรื่องการวางแผนภาษีเพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 42 ทวิ (หักค่าใช้จ่าย), มาตรา 47 (ค่าลดหย่อน), มาตรา 48 (อัตราภาษี)","S7 S1"
"Q02","คำนวณภาษี","ง่าย","1","เงินเดือน 50,000 บาทต่อเดือน จ่ายประกันสังคม 9,000 บาท ต้องเสียภาษีเท่าไหร่","ผ่าน","พบ 20,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","34399","ภาษีที่ต้องชำระคือ 20,600 บาทค่ะ เงินเดือนปีละ 600,000 บาท หักค่าใช้จ่าย 50% (ไม่เกิน 100,000 บาท) เหลือ 500,000 บาท หักค่าลดหย่อนส่วนตัว 60,000 บาท และเงินสมทบประกันสังคม 9,000 บาท เหลือเงินได้สุทธิ 431,000 บาท ภาษีคำนวณตามอัตราก้าวหน้า: - 150,000 บาทแรก: 0 บาท - 150,001 - 300,000 บาท: 7,500 บาท - 300,001 - 431,000 บาท: 13,100 บาท รวมภาษีที่ต้องชำระ 20,600 บาท คุณเคยใช้สิทธิลดหย่อน RMF หรือมีบุตรเพิ่มเติมไหมคะ?","ประมวลรัษฎากร มาตรา 42 ทวิ, มาตรา 47, มาตรา 48","S7 S1"
"Q03","คำนวณภาษี","ปานกลาง","1","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท ซื้อกองทุน RMF 100,000 บาท เสียภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""rmf"":100000,""socialSecurity"":9000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ค่าลดหย่อนกองทุนและประกัน ปี 2567","38066","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ เงินเดือนปีละ 600,000 บาท หักค่าใช้จ่าย 50% (เพดานรวมไม่เกิน 100,000 บาท) และหักค่าลดหย่อนรวม 169,000 บาท เช่น เงินสมทบประกันสังคม 9,000 บาท และกองทุน RMF 100,000 บาท เงินได้สุทธิหลังหักแล้วคือ 331,000 บาท จึงต้องเสียภาษีตามอัตราก้าวหน้า 10,600 บาท คำแนะนำเพิ่มเติม: - หากมีบุตรหรือผู้พิการอุปการะ สามารถขอค่าลดหย่อนเพิ่มเติมได้ - อัตราภาษีอาจเปลี่ยนแปลงทุกปี ควรตรวจสอบข้อมูลล่าสุดจากกรมสรรพากร ต้องการคำนวณกรณีอื่นไหมคะ?","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวงเรื่องกองทุนรวมเพื่อการเลี้ยงชีพ","S7 S1"
"Q04","คำนวณภาษี","ปานกลาง","1","เงินเดือน 100,000 บาทต่อเดือน มีคู่สมรสไม่มีรายได้ มีบุตร 2 คน ประกันสังคม 9,000 บาท ภาษีเท่าไหร่","ไม่ผ่าน","ไม่พบ 97,200","calculate_thai_personal_income_tax","{""income"":{""salary"":1200000},""allowances"":{""children"":2,""socialSecurity"":9000,""spouse"":false}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","47357","ภาษีที่ต้องชำระคือ 109,200 บาทค่ะ รายละเอียด: - เงินเดือนปีละ 1,200,000 บาท (100,000 บาทต่อเดือน × 12) - หักค่าใช้จ่าย 50% แต่ไม่เกิน 100,000 บาท → หัก 100,000 บาท - หักค่าลดหย่อน: ส่วนตัว 60,000 บาท + บุตร 2 คน (30,000 บาท/คน) = 90,000 บาท + ประกันสังคม 9,000 บาท → รวมหัก 129,000 บาท - เงินได้สุทธิ: 971,000 บาท - อัตราก้าวหน้า: เงินได้เกิน 300,000 บาทขึ้นไปหักอัตรา 5%–20% คำแนะนำเพิ่มเติม: - หากมีเงินบริจาคหรือสิทธิพิเศษอื่นๆ อาจได้รับการลดหย่อนเพิ่มเติม - เอกสารหลักฐาน เช่น ใบเสร็จรับเงินประกันสังคม ควรเก็บไว้เพื่อใช้ประกอบการยื่นภาษี คุณเคยใช้สิทธิลดหย่อนอื่นๆ อีกไหมคะ?","ประมวลรัษฎากร มาตรา 47 (ลดหย่อนคู่สมรสและบุตร)","S7 S1"
"Q05","คำนวณภาษี","ปานกลาง","1","มีรายได้จากธุรกิจส่วนตัวปีละ 2,000,000 บาท มีคู่สมรสไม่มีรายได้ และบุตร 2 คน ภาษีที่ต้องชำระเท่าไหร่","ผ่าน","พบ 45,500","calculate_thai_personal_income_tax","{""allowances"":{""children"":2,""spouse"":true},""income"":{""business"":2000000}}","1","ภาษีธุรกิจเฉพาะและการขายอสังหาริมทรัพย์ | เงินได้จากธุรกิจและการพาณิชย์ 40(8)","39760","ภาษีที่ต้องชำระคือ 45,500 บาทค่ะ รายได้จากธุรกิจส่วนตัวปีละ 2,000,000 บาท หักค่าใช้จ่ายตามจริงได้ร้อยละ 60 เหลือเงินได้สุทธิ 620,000 บาท หักค่าลดหย่อนรวม 180,000 บาท (คู่สมรสไม่มีรายได้ + บุตร 2 คน) อัตราภาษีขึ้นก้าวหน้าตามช่วงเงินได้สุทธิ รวมเป็นภาษีที่ต้องชำระ 45,500 บาท ค่าลดหย่อนสำหรับบุตรคนละ 30,000 บาท และคู่สมรสคนละ 60,000 บาท (ไม่มีรายได้) หากมีรายได้อื่นๆ เช่น เงินเดือนหรืออื่นๆ อีก ก็ควรแจ้งเพิ่มเติมนะคะ ต้องการคำแนะนำเพิ่มเติมเกี่ยวกับการวางแผนภาษีหรือเอกสารที่ต้องจัดทำไหมคะ?","ประมวลรัษฎากร มาตรา 40(8), มาตรา 47, มาตรา 48","S7 S3"
"Q06","คำนวณภาษี","ปานกลาง","1","ฟรีแลนซ์รับจ้างทำของ มีรายได้ปีละ 800,000 บาท โสด ไม่มีค่าลดหย่อนอื่น ภาษีเท่าไหร่","ผ่าน","พบ 48,500","calculate_thai_personal_income_tax","{""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""donationEducation"":0,""donationGeneral"":0,""easyEReceipt"":0,""healthInsurance"":0,""homeLoanInterest"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""rmf"":0,""socialSecurity"":0,""spouse"":false,""ssf"":0},""income"":{""hire"":800000}}","1","ค่าลดหย่อนส่วนตัวและครอบครัว ปี 2567 | ค่าลดหย่อนกองทุนและประกัน ปี 2567","40597","ภาษีที่ต้องชำระคือ 48,500 บาทค่ะ รายละเอียด: - เงินได้พึงประเมินรวม: 800,000 บาท - หักค่าใช้จ่าย (รับจ้างทำของ): 100,000 บาท (อัตราหัก 50%) - หักค่าลดหย่อนส่วนตัว: 60,000 บาท (โสด) - เงินได้สุทธิ: 640,000 บาท - อัตราภาษีขั้นบันได: 0% - 5% - 10% - 15% ตามช่วงเงินได้ - รวมภาษีที่ต้องชำระ: 48,500 บาท ค่าลดหย่อนอื่น ๆ เช่น กองทุนหรือประกันไม่มีการระบุมาเลยค่ะ","ประมวลรัษฎากร มาตรา 40(2), มาตรา 42 ทวิ (หัก 50% ไม่เกิน 100,000 บาท)","S7 S3"
"Q07","คำนวณภาษี","ง่าย","1","เงินเดือนเดือนละ 20,000 บาท ต้องเสียภาษีไหม","ผ่าน","ตอบถูกว่าไม่ต้องเสียภาษี","calculate_thai_personal_income_tax","{""income"":{""salary"":240000}}","1","ตัวอย่างการคำนวณภาษีเงินเดือน | การหักภาษี ณ ที่จ่ายจากเงินเดือน และการขอคืน","31214","ภาษีที่ต้องชำระคือ 0 บาทค่ะ เงินเดือนปีละ 240,000 บาท (เดือนละ 20,000 บาท) เงินได้หลังหักค่าใช้จ่ายและลดหย่อนแล้วเท่ากับ 80,000 บาท ซึ่งอยู่ในช่วงที่ไม่ต้องเสียภาษีตามอัตราก้าวหน้า ค่าลดหย่อนส่วนตัว 60,000 บาท และหักค่าใช้จ่ายได้ครึ่งหนึ่งของรายได้รวม (ไม่เกิน 100,000 บาท) หากมีรายได้อื่นๆ เพิ่มเติมหรือต้องการคำนวณรายละเอียดเพิ่มเติม เช่น เงินเดือนสูงขึ้นหรือมีบุตร ควรแจ้งมาได้เลยค่ะ","ประมวลรัษฎากร มาตรา 48 (เงินได้สุทธิไม่เกิน 150,000 บาท ได้รับยกเว้น)","S7 S3"
"Q08","คำนวณภาษี","ยาก","1","เงินเดือนปีละ 600,000 บาท ประกันสังคม 9,000 บาท จ่ายเบี้ยประกันชีวิต 100,000 บาท และเลี้ยงดูบิดามารดาอายุเกิน 60 ปี 2 คน ภาษีเท่าไหร่","ผ่าน","พบ 6,050","calculate_thai_personal_income_tax","{""income"":{""salary"":600000},""allowances"":{""lifeInsurance"":100000,""parents"":2,""socialSecurity"":9000}}","1","ค่าลดหย่อนบิดามารดาและค่าอุปการะคนพิการ | ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน","42777","ภาษีที่ต้องชำระคือ 6,050 บาทค่ะ เงินเดือนปีละ 600,000 บาท หักค่าใช้จ่ายและลดหย่อนตามกฎหมาย เช่น เบี้ยประกันชีวิต 100,000 บาท และค่าอุปการะบิดามารดา 2 คน (รวม 60,000 บาท) ภาษีคำนวณตามอัตราก้าวหน้า โดยเงินได้สุทธิหลังหักค่าใช้จ่ายและลดหย่อนอยู่ในช่วงที่ต้องเสียภาษี 5% เริ่มต้นจาก 150,001 บาทขึ้นไป ค่าลดหย่อนส่วนตัวอัตโนมัติ 60,000 บาท รวมกับเงินสมทบประกันสังคม 9,000 บาท และเบี้ยประกันชีวิตที่จ่ายจริง แนะนำให้ตรวจสอบข้อมูลกับกรมสรรพากรอีกครั้งหากมีรายได้อื่นๆ เช่น เงินปันผลหรือค่าเช่าทรัพย์สิน ต้องการคำนวณภาษีเมื่อมีรายได้หลายประเภทไหมคะ?","ประมวลรัษฎากร มาตรา 47 (ลดหย่อนบิดามารดาคนละ 30,000 บาท เบี้ยประกันชีวิตไม่เกิน 100,000 บาท)","S7 S1"
"Q09","คำนวณภาษี","ยาก","1","มีรายได้จากการให้เช่าบ้านปีละ 600,000 บาท โสด ไม่มีค่าลดหย่อนอื่น ภาษีเท่าไหร่","ผ่าน","พบ 13,500","calculate_thai_personal_income_tax","{""income"":{""rent"":600000},""allowances"":{""children"":0,""childrenBorn2561Plus"":0,""disabledCare"":0,""donationEducation"":0,""donationGeneral"":0,""easyEReceipt"":0,""healthInsurance"":0,""homeLoanInterest"":0,""lifeInsurance"":0,""nsf"":0,""parentHealthInsurance"":0,""parents"":0,""pensionInsurance"":0,""pvd"":0,""rmf"":0,""socialSecurity"":0,""spouse"":false,""ssf"":0}}","1","ค่าลดหย่อนส่วนตัวและครอบครัว ปี 2567 | ค่าลดหย่อนกองทุนและประกัน ปี 2567","62020","ภาษีที่ต้องชำระคือ 13,500 บาทค่ะ รายได้จากการให้เช่าบ้านปีละ 600,000 บาท จะหักค่าใช้จ่าย 30% เท่ากับ 180,000 บาทตามมาตรา 40(5) แล้วเหลือเงินได้สุทธิ 360,000 บาท หักค่าลดหย่อนส่วนตัว 60,000 บาท (โสดไม่มีคู่สมรสหรือบุตร) เหลือเงินได้สุทธิอีก 300,000 บาท ภาษีคำนวณตามอัตราก้าวหน้า: - 150,000 บาทแรก: อัตรา 0% → เงินภาษี 0 บาท - 150,001 - 300,000 บาท: อัตรา 5% → เงินภาษี 7,500 บาท - 300,001 - 500,000 บาท: อัตรา 10% → เงินภาษี 6,000 บาท รวมภาษีที่ต้องชำระ 13,500 บาท ค่าลดหย่อนอื่นๆ เช่น กองทุนหรือประกัน ไม่มีการแจ้งมาจึงไม่หักค่ะ หากมีรายได้หลายประเภทหรือใช้สิทธิพิเศษเพิ่มเติม ควรปรึกษากรมสรรพากรอีกค","ประมวลรัษฎากร มาตรา 40(5) และพระราชกฤษฎีกาว่าด้วยการหักค่าใช้จ่าย (บ้านและสิ่งปลูกสร้าง หักเหมา 30%)","S7 S3"
"Q10","คำนวณภาษี","ยาก","1","เงินเดือนปีละ 1,000,000 บาท ประกันสังคม 9,000 บาท ซื้อ SSF 200,000 บาท และ RMF 300,000 บาท ภาษีเท่าไหร่","ผ่าน","พบ 10,600","calculate_thai_personal_income_tax","{""income"":{""salary"":1000000},""allowances"":{""rmf"":300000,""socialSecurity"":9000,""ssf"":200000}}","1","ประกันสังคมและกองทุนอื่นที่หักจากเงินเดือน | ตัวอย่างการคำนวณภาษีเงินเดือน","39757","ภาษีที่ต้องชำระคือ 10,600 บาทค่ะ รายละเอียดการคำนวณ: - เงินได้พึงประเมินรวม: 1,000,000 บาท - หักค่าใช้จ่าย 50% (เพดานรวมไม่เกิน 100,000 บาท) → เหลือ 900,000 บาท - หักค่าลดหย่อนรวม: ส่วนตัว 60,000 + ประกันสังคม 9,000 + RMF 300,000 + SSF 200,000 = 569,000 บาท - เงินได้สุทธิ: 331,000 บาท - ภาษีตามอัตราก้าวหน้า: 10,600 บาท ค่าลดหย่อน RMF และ SSF ใช้สูงสุดตามข้อกำหนดของกฎหมายค่ะ หากมีรายได้จากประเภทอื่นหรือต้องการคำนวณเพิ่มเติม เช่น มีบุตรหรือครอบครัวใหญ่ขึ้น สามารถแจ้งมาได้นะคะ 😊","ประมวลรัษฎากร มาตรา 47 ประกอบกฎกระทรวง (SSF ไม่เกิน 200,000 RMF ไม่เกิน 30% ของเงินได้ และรวมกลุ่มเกษียณไม่เกิน 500,000 บาท)","S7 S1"
